cnt load p                x                y        p_en s_en done
  0    1 0000000000000000 0000000011111111 11111111    0    0    0
  1    0 0000000011111111 0000000111111110 01111111    1    1    0
  2    0 0000001011111101 0000001111111100 00111111    1    1    0
  3    0 0000011011111001 0000011111111000 00011111    1    1    0
  4    0 0000111011110001 0000111111110000 00001111    1    1    0
  5    0 0001111011100001 0001111111100000 00000111    1    1    0
  6    0 0011111011000001 0011111111000000 00000011    1    1    0
  7    0 0111111010000001 0111111110000000 00000001    1    1    0
  8    0 1111111000000001 1111111100000000 00000000    0    0    1
  9    0 1111111000000001 1111111100000000 00000000    0    0    1
255*255=65025
 10    1 0000000000000000 0000000011111111 00100100    0    0    0
 11    0 0000000000000000 0000000111111110 00010010    0    1    0
 12    0 0000000000000000 0000001111111100 00001001    1    1    0
 13    0 0000001111111100 0000011111111000 00000100    0    1    0
 14    0 0000001111111100 0000111111110000 00000010    0    1    0
 15    0 0000001111111100 0001111111100000 00000001    1    1    0
 16    0 0010001111011100 0011111111000000 00000000    0    1    0
 17    0 0010001111011100 0111111110000000 00000000    0    1    0
 18    0 0010001111011100 1111111100000000 00000000    0    0    1
 19    0 0010001111011100 1111111100000000 00000000    0    0    1
255*36=9180
 20    1 0000000000000000 0000000000100100 01000010    0    0    0
 21    0 0000000000000000 0000000001001000 00100001    1    1    0
 22    0 0000000001001000 0000000010010000 00010000    0    1    0
 23    0 0000000001001000 0000000100100000 00001000    0    1    0
 24    0 0000000001001000 0000001001000000 00000100    0    1    0
 25    0 0000000001001000 0000010010000000 00000010    0    1    0
 26    0 0000000001001000 0000100100000000 00000001    1    1    0
 27    0 0000100101001000 0001001000000000 00000000    0    1    0
 28    0 0000100101001000 0010010000000000 00000000    0    0    1
 29    0 0000100101001000 0010010000000000 00000000    0    0    1
36*66=2376
 30    1 0000000000000000 0000000001000010 10101001    0    0    0
 31    0 0000000001000010 0000000010000100 01010100    0    1    0
 32    0 0000000001000010 0000000100001000 00101010    0    1    0
 33    0 0000000001000010 0000001000010000 00010101    1    1    0
 34    0 0000001001010010 0000010000100000 00001010    0    1    0
 35    0 0000001001010010 0000100001000000 00000101    1    1    0
 36    0 0000101010010010 0001000010000000 00000010    0    1    0
 37    0 0000101010010010 0010000100000000 00000001    1    1    0
 38    0 0010101110010010 0100001000000000 00000000    0    0    1
 39    0 0010101110010010 0100001000000000 00000000    0    0    1
66*169=11154
 40    1 0000000000000000 0000000010101001 10101011    0    0    0
 41    0 0000000010101001 0000000101010010 01010101    1    1    0
 42    0 0000000111111011 0000001010100100 00101010    0    1    0
 43    0 0000000111111011 0000010101001000 00010101    1    1    0
 44    0 0000011101000011 0000101010010000 00001010    0    1    0
 45    0 0000011101000011 0001010100100000 00000101    1    1    0
 46    0 0001110001100011 0010101001000000 00000010    0    1    0
 47    0 0001110001100011 0101010010000000 00000001    1    1    0
 48    0 0111000011100011 1010100100000000 00000000    0    0    1
 49    0 0111000011100011 1010100100000000 00000000    0    0    1
169*171=28899
